Original,Refactoring,Time,Improvement,Original Score,Refactoring Score
!((A&!B&!C)->!D),(A&!B&!C&D),0.014,0.560676989557076,27.77,15.570000000000002
!((A&!B&!C)->!D),(A&!B&!C&D),0.014,0.560676989557076,27.77,15.570000000000002
(!A&!B&!C&!D&!E),(!A&!B&!C&!D&!E),0.0,1.0,18.75,18.75
(!A|!B|C|D|!E),(!A|!B|C|D|!E),0.003,1.0,16.05,16.05
((A&B&!C&!D&!E)->F),(!A|!B|C|D|E|F),0.018,0.6615146831530138,25.880000000000003,17.119999999999997
!(!(!A&B&!C&D&E)->F),((A|!B|C|!D|!E)&!F),0.046,0.7568481569157929,29.570000000000004,22.38
(A->(B&!C&!D)),(!A|(B&!C&!D)),0.01,0.9031061659712564,21.57,19.48
!(!A->!(B|!C|!D)),(!A&(B|!C|!D)),0.014,0.7561654733492441,25.14,19.009999999999998
((!A&!B&!C)->D),(A|B|C|D),0.001,0.5323020928116469,21.98,11.7
!((A&!B&!C)->!D),(A&!B&!C&D),0.014,0.560676989557076,27.77,15.570000000000002
!((A&!B&!C)->!D),(A&!B&!C&D),0.014,0.560676989557076,27.77,15.570000000000002
((A&B)|(B&C)|(B&D)),((A|C|D)&B),0.02,0.8053892215568861,20.04,16.139999999999997
!(!(!A&!B)|!(!B|!C)|(B&D)),(!A&!B&(!B|!C)&(!B|!D)),0.024,0.8823099415204675,27.360000000000007,24.139999999999997
(!(!A&!B)&!(!B|!C)&(B&D)),((A|B)&B&C&D),0.008,0.707047619047619,26.250000000000004,18.560000000000002
(!(!A&!B)&!(!B|!C)&(B&D)),((A|B)&B&C&D),0.008,0.707047619047619,26.250000000000004,18.560000000000002
